scenario_id,sequence,condition_id,image_relpath,image_sha256,config_sha256,longitude,latitude,elevation_m,source_crs,axis_order,elevation_unit,vertical_reference,classification
S001,1,baseline,images/S001.png,6755af994b4b9129d3ed4537ddc403dcac659ccff47c350fb7904f4342554f20,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,62.936706,-16.238655,187.45,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S003,3,baseline,images/S003.png,62f81d90418d1efdce91a1561b9c229786dbfd3a08b30ed16803e62e805ea17e,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-49.378789,27.354728,570.07,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S005,5,baseline,images/S005.png,ec6038f55c02cb242023893b5b8f974269d8abef89920c1170044df37b65d251,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,64.859323,-45.743595,1200.59,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S006,6,baseline,images/S006.png,07db6379ab99a62f2bce0e8b75edd95dbacd9d1852202a8f8d7358ff040365c9,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-35.693020,4.787286,843.06,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S007,7,baseline,images/S007.png,7611e62ac8da0f687067b22efc47ec5ae5f6349ccf6751c78258796929452126,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,39.434627,-70.355790,2336.86,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S008,8,baseline,images/S008.png,70e52d11ecd44719a1fa9a42b21b13795bbcbb23127870fa25c3b580e50893f3,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-163.280560,27.932293,1693.12,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S009,9,baseline,images/S009.png,ff5af976697449f1ff7a296329485c046e2a6332d6d2dac0a10b4e61e6b14665,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,65.775196,-12.755749,726.13,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S010,10,baseline,images/S010.png,76973f8187e0e948b4cda822986153575d06349ff27dc597643c21ec62663255,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-88.374191,55.484189,1091.13,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S011,11,baseline,images/S011.png,f6d322136d8228b21d8222890568adb88f2b7cebb9a7d1c0e25400e0504e271f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,57.730922,-39.159040,2128.43,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S012,12,baseline,images/S012.png,8c2a216a6b0f85465868494dc92a6737e86adfe84dc22775e859c478ebb15e8a,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-14.530989,71.891958,2194.23,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S013,13,baseline,images/S013.png,087fcc8544c80957f0d25277d8ff0267a83335f977de15bb7f73b52e43cdb55d,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,77.780412,-21.077524,299.60,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S014,14,baseline,images/S014.png,83df629faa7a100801ab9851669a0e19991be15e875655eafda6a9f49bc031e9,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-158.862104,2.872772,400.67,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S015,15,baseline,images/S015.png,8c1844781c5de017b8c6e15e8d2e08efc5d54a47bfd9d786afd39f3ba91bab05,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,44.113442,-57.679973,-92.33,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S016,16,baseline,images/S016.png,02cfdfca7a2146d51e0213cb4174ad5736a0f29ec901075b1627dfea33fa7670,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-128.385669,56.651363,-18.00,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S021,21,scale_125,images/S021.png,f8187599d81d5ae1ae1efb9ceba53951ca790d320ada4e8036a03d607dbdabc2,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,165.787703,-12.303468,1185.77,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S023,23,scale_125,images/S023.png,ba2489b186d757e9b7a4730f0780e3d1dee224d77de23b899552f64e2be95f99,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-86.633676,20.775271,961.46,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S025,25,scale_125,images/S025.png,8f83e29d3be086f2667426da552dfc523e8cc349d5e7bb9f0e0608ffdf935f81,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,74.242618,-20.396366,1334.14,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
