scenario_id,sequence,condition_id,image_relpath,image_sha256,config_sha256,ocr_engine,ocr_engine_version,ocr_language,ocr_status,raw_text_utf8_b64,raw_text_sha256,raw_text_display,duration_ms,ocr_error_code
S001,1,baseline,images/S001.png,6755af994b4b9129d3ed4537ddc403dcac659ccff47c350fb7904f4342554f20,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtMTYuMjM4NjU1IExPTjogNjIuOTM2NzA2IEVMRVY6IDE4Ny40NSBt,0c73e1a53b7a8111e82804cca776fd1e881f8d7ef9279d6dd74fbf7ecac2653d,LAT: -16.238655 LON: 62.936706 ELEV: 187.45 m,18,
S002,2,baseline,images/S002.png,11a5fee18af44a8f9f0464f569200650f2481699befa8d48dce54c106c3d2be0,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gLTE2LjIzODY1NSBMT04gPSA2Mi45MzY3MDYgRUxFViA9IDE4Ny40NSBt,8ccdf7302cf93698cf4a2dc24238f0129a7c43220e8498bc8f298e60749997e5,LAT = -16.238655 LON = 62.936706 ELEV = 187.45 m,16,
S003,3,baseline,images/S003.png,62f81d90418d1efdce91a1561b9c229786dbfd3a08b30ed16803e62e805ea17e,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIDI3LjM1NDcyOCBkZWcgTE9OIC00OS4zNzg3ODkgZGVnIEVMRVYgNTcwLjA3IG0=,711104cee81aa03f73be202cedcc661be5e6a34e7a614b1d4f7d9159d41337c0,LAT 27.354728 deg LON -49.378789 deg ELEV 570.07 m,13,
S004,4,baseline,images/S004.png,0ca5650f19e08a68d855be101e7e6fc208a21cac296b4fcdbebd8f1f7bbb4b9b,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAyNy4zNTQ3MjggTE9OOiAtNDkuMzc4Nzg5IEVMRVY6IDU3MC4wNyBt,bf5532cb7d905f759e436c97d7a45428e1af5015113208de2b502c3f5510ddcd,LAT: 27.354728 LON: -49.378789 ELEV: 570.07 m,18,
S005,5,baseline,images/S005.png,ec6038f55c02cb242023893b5b8f974269d8abef89920c1170044df37b65d251,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtNDUuNzQzNTk1IExPTjogNjQuODU5MzIzIEVMRVY6IDEyMDAuNTkgbQ==,c2fc185840f389f0d4ce3ccc0bbff6dda7d33fb4b83245ecb3230f55a0070493,LAT: -45.743595 LON: 64.859323 ELEV: 1200.59 m,17,
S006,6,baseline,images/S006.png,07db6379ab99a62f2bce0e8b75edd95dbacd9d1852202a8f8d7358ff040365c9,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gNC43ODcyODYgTE9OID0gLTM1LjY5MzAyMCBFTEVWID0gODQzLjA2IG0=,295e7102df63ab064214823d76749e54cc41f107bfc73367accaa13d2b6df95a,LAT = 4.787286 LON = -35.693020 ELEV = 843.06 m,18,
S007,7,baseline,images/S007.png,7611e62ac8da0f687067b22efc47ec5ae5f6349ccf6751c78258796929452126,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC03MC4zNTU3OTAgZGVnIExPTiAzOS40MzQ2MjcgZGVnIEVMRVYgMjMzNi44NiBt,45333b5cd653aff5dc43a2421ba0d5a79b9926ef714d29c9ed6dcb78e2202478,LAT -70.355790 deg LON 39.434627 deg ELEV 2336.86 m,14,
S008,8,baseline,images/S008.png,70e52d11ecd44719a1fa9a42b21b13795bbcbb23127870fa25c3b580e50893f3,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAyNy45MzIyOTMgTE9OOiAtMTYzLjI4MDU2MCBFTEVWOiAxNjkzLjEyIG0=,5d580f4d2e17d1e26cd9915f031d2d6b086bd77c89d578f73187677b615d7c16,LAT: 27.932293 LON: -163.280560 ELEV: 1693.12 m,13,
S009,9,baseline,images/S009.png,ff5af976697449f1ff7a296329485c046e2a6332d6d2dac0a10b4e61e6b14665,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtMTIuNzU1NzQ5IExPTjogNjUuNzc1MTk2IEVMRVY6IDcyNi4xM20=,ea9412e33cad55e2c540783bbd931dd32c2d8212698b32502f001c79af5fe284,LAT: -12.755749 LON: 65.775196 ELEV: 726.13m,15,
S010,10,baseline,images/S010.png,76973f8187e0e948b4cda822986153575d06349ff27dc597643c21ec62663255,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gNTUuNDg0MTg5IExPTiA9IC04OC4zNzQxOTEgRUxFVj0gMTA5MS4xMyBt,7c901a9f87de1b84e55b6226f062e5fdb085ac4c2e724eed1a6456dfc1c925fe,LAT = 55.484189 LON = -88.374191 ELEV= 1091.13 m,16,
