scenario_id,sequence,condition_id,image_relpath,image_sha256,config_sha256,raw_text_utf8_b64,raw_text_sha256,raw_text_display,parsed_longitude,parsed_latitude,parsed_elevation_m,classification,primary_code,all_codes,reference_scenario_id
S002,2,baseline,images/S002.png,11a5fee18af44a8f9f0464f569200650f2481699befa8d48dce54c106c3d2be0,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUID0gLTE2LjIzODY1NSBMT04gPSA2Mi45MzY3MDYgRUxFViA9IDE4Ny40NSBt,8ccdf7302cf93698cf4a2dc24238f0129a7c43220e8498bc8f298e60749997e5,LAT = -16.238655 LON = 62.936706 ELEV = 187.45 m,62.936706,-16.238655,187.45,REJECTED,STALE_READING,STALE_READING,S001
S004,4,baseline,images/S004.png,0ca5650f19e08a68d855be101e7e6fc208a21cac296b4fcdbebd8f1f7bbb4b9b,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUOiAyNy4zNTQ3MjggTE9OOiAtNDkuMzc4Nzg5IEVMRVY6IDU3MC4wNyBt,bf5532cb7d905f759e436c97d7a45428e1af5015113208de2b502c3f5510ddcd,LAT: 27.354728 LON: -49.378789 ELEV: 570.07 m,-49.378789,27.354728,570.07,REJECTED,STALE_READING,STALE_READING,S003
S017,17,baseline,images/S017.png,a5afecd054bce429d6ed2222a37e1585cd191c64d14a455fdcf0f26ac5c8ae66,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUOiAxMkEuMzQ1Njc4IExPTjogLTU3Ljc3NzY2MyBFTEVWOiAyMTAuOTcgbQ==,67ad0778f8359e51029462241b283225000a6fd5b41696ace4a60f92e8b66007,LAT: 12A.345678 LON: -57.777663 ELEV: 210.97 m,-57.777663,,210.97,REJECTED,MALFORMED_LAT,MALFORMED_LAT,
S018,18,baseline,images/S018.png,8584b954be4be6a449ae00e38908b1b8d726703c76af90e2be631b0d8ed2ba5b,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUID0gLTUwLjM3MTA3MCBMT04gPSAxMTAuMzQ3MjEy,4e2f57a95066612fd6221b40438bb102ac29fc69c2c01f8053ff82502b694baa,LAT = -50.371070 LON = 110.347212,110.347212,-50.371070,,REJECTED,MISSING_ELEV,MISSING_ELEV,
S019,19,baseline,images/S019.png,e1f41f3e92a4e9f7292c420cace0102ff27e05d3906b1056be12d40119dbce3f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUIC0xNi4yMzg2NTUgZGVnIExPTiA2Mi45MzY3MDYgZGVnIEVMRVYgMTg3LjQ1IG0=,78291756c9d2652259e69bd8b59a9b314cfb2d8c0730f8f2e9f3ebcdc74bff80,LAT -16.238655 deg LON 62.936706 deg ELEV 187.45 m,62.936706,-16.238655,187.45,REJECTED,DUPLICATE_READING,DUPLICATE_READING,S001
S020,20,baseline,images/S020.png,0ca5650f19e08a68d855be101e7e6fc208a21cac296b4fcdbebd8f1f7bbb4b9b,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUOiAyNy4zNTQ3MjggTE9OOiAtNDkuMzc4Nzg5IEVMRVY6IDU3MC4wNyBt,bf5532cb7d905f759e436c97d7a45428e1af5015113208de2b502c3f5510ddcd,LAT: 27.354728 LON: -49.378789 ELEV: 570.07 m,-49.378789,27.354728,570.07,REJECTED,DUPLICATE_READING,DUPLICATE_READING,S003
S022,22,scale_125,images/S022.png,edb9849a6c528f1c4b00be695f5b8e7c02f0eb159308b5d1e3a462e314251db7,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUID0gLTEyLjMwMzQ2OCBMT04gPSAxNjUuNzg3NzAzIEVMRVYgPSAxMTg1Ljc3IG0=,796bfc235d755396c00e895f58d8ae9c2d54074076c8606878f6e14cfbeb20bc,LAT = -12.303468 LON = 165.787703 ELEV = 1185.77 m,165.787703,-12.303468,1185.77,REJECTED,STALE_READING,STALE_READING,S021
S024,24,scale_125,images/S024.png,51464c260ed4d18d27d03a2b9c8b2fc72039bbcff3879aafede0db59186f1757,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUOiAyMC43NzUyNzEgTE9OOiAtODYuNjMzNjc2IEVMRVY6IDk2MS40NiBt,39541d1f3dc76b80344b4085e6fb758f23f7861f50d128e286d7f55c0d900fc5,LAT: 20.775271 LON: -86.633676 ELEV: 961.46 m,-86.633676,20.775271,961.46,REJECTED,STALE_READING,STALE_READING,S023
S037,37,scale_125,images/S037.png,1db2c29ed56a082c7d2353db938f813a1131ea60c660eabd00034d8fe231397f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUOiAyMkEuMzQ1Njc4IExPTjogNTAuNDYyMzkwIEVMRVY6IDIxODguMTggbQ==,e01afdc71a4c5ebd39fe37a8e9b1af9903398f60f0ce0124c75eff7ddb2f7b84,LAT: 22A.345678 LON: 50.462390 ELEV: 2188.18 m,50.462390,,2188.18,REJECTED,MALFORMED_LAT,MALFORMED_LAT,
S038,38,scale_125,images/S038.png,71d51b9d004c22e5beab8e1e4d5b12a987e207718f21354691729f6e46fe97ab,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,TEFUID0gMTcuMTUzNjY3IExPTiA9IC0xNC45NTk0Mjg=,79db2e27eeae1461088939587e76cf3fed1ce6250a690987efdcd42a2437bb6d,LAT = 17.153667 LON = -14.959428,-14.959428,17.153667,,REJECTED,MISSING_ELEV,MISSING_ELEV,
